DIM_Establecimientos[establecimiento_id],DIM_Establecimientos[establecimiento_nombre],DIM_Establecimientos[Dependencia],DIM_Establecimientos[Municipio],DIM_Establecimientos[Egresos 22_24],DIM_Establecimientos[Egresos Anual 22_24],DIM_Establecimientos[Estadia Media 22_24],DIM_Establecimientos[Mortalidad 22_24],DIM_Establecimientos[Camas 22_24],DIM_Establecimientos[Ocupacion 22_24],DIM_Establecimientos[Giro 22_24],DIM_Establecimientos[Segmento],DIM_Establecimientos[Mediana LOS Dep],DIM_Establecimientos[Mediana Mort Dep],DIM_Establecimientos[LOS Ratio],DIM_Establecimientos[Mort Ratio],DIM_Establecimientos[Clasificacion Capacidad],DIM_Establecimientos[Desempeno Internacion]
82600080,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Trenque Lauquen,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
82600128,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Trenque Lauquen,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
82600136,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Trenque Lauquen,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
82600209,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Trenque Lauquen,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
80500924,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tigre,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
80500347,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tigre,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
80501025,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tigre,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
83300250,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tres Arroyos,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
83300012,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tres Arroyos,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
81900101,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tornquist,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
81900021,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tornquist,5696,"1898,6666666666667","1,7965238764044944","0,005091292134831461",11,"0,994442601194426","172,6060606060606",Agudos,"3,107649896623019","0,025671042729325196","0,5780972555359978","0,1983282170698679",Saturado,Dentro de banda
81900098,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tornquist,16,8,"1180,125","0,75",25,"1,0063970588235294","0,21333333333333335",Estadia prolongada,"3,107649896623019","0,025671042729325196","379,7483755433336","29,215798045602604",Excluido (no agudo),Dentro de banda
81900080,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tornquist,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
81900071,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tornquist,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
81900055,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tornquist,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
83300021,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tres Arroyos,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
81900047,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tornquist,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
81900012,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tornquist,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
81900006,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tornquist,1,1,26,1,5,"1,183695652173913","0,2",Agudos,"3,107649896623019","0,025671042729325196","8,36645081167391","38,954397394136805",Anomalia de datos,Dentro de banda
80500983,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tigre,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
81200011,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tordillo,769,"256,3333333333333","7,145643693107933","0,01950585175552666",15,"0,22347931873479318","17,08888888888889",Agudos,"3,107649896623019","0,025671042729325196","2,2993721721590545","0,7598387007959065",Subutilizado,Peor desempeno
81200037,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tordillo,4,2,"125,75","0,5","11,666666666666666","0,6731363384298503","0,11428571428571428",Estadia prolongada,"3,107649896623019","0,025671042729325196","40,46466113723055","19,477198697068403",Excluido (no agudo),Dentro de banda
84000012,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tres de Febrero,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
81200029,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tordillo,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
81900039,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tornquist,7593,2531,"6,3723166074015545","0,011853022520742789",57,"1,0092260952990086","44,40350877192982",Agudos,"3,107649896623019","0,025671042729325196","2,050525902009149","0,46172734959466777",Anomalia de datos,Peor desempeno
83300039,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tres Arroyos,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
83300241,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tres Arroyos,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
