GBA_Rendimientos[anio],GBA_Rendimientos[dependencia],GBA_Rendimientos[establecimiento_id],GBA_Rendimientos[region_sanitaria],GBA_Rendimientos[municipio_id],GBA_Rendimientos[municipio_nombre],GBA_Rendimientos[establecimiento_nombre],GBA_Rendimientos[consultas_odontologicas],GBA_Rendimientos[consultas_medicas],GBA_Rendimientos[consultas_paramedicas],GBA_Rendimientos[interconsultas],GBA_Rendimientos[egresos],GBA_Rendimientos[dias_camas_disponible],GBA_Rendimientos[promedio_camas_disponibles],GBA_Rendimientos[pacientes_dias],GBA_Rendimientos[porcentaje_ocupacion],GBA_Rendimientos[giro_de_camas],GBA_Rendimientos[dias_estadia],GBA_Rendimientos[promedio_dias_estadia],GBA_Rendimientos[defunciones],GBA_Rendimientos[tasa_mortalidad_hospitalaria],GBA_Rendimientos[columna_extra],GBA_Rendimientos[Fecha]
2012,Municipal,,V,060126,Campana,C.A.P.S. Nº 13 Las Esperanza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2012 00:00:00
2012,Municipal,,V,060126,Campana,C.A.P.S. Nº 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2012 00:00:00
2012,Municipal,,V,060126,Campana,C.A.P.S. N° 23 Río Luján,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2012 00:00:00
2012,Municipal,,V,060252,Escobar,Centro Sanitario Móvil Dr. Horacio Dupuy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2012 00:00:00
2012,Municipal,,V,060252,Escobar,Laboratorio Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2012 00:00:00
2012,Municipal,,V,060371,General San Martín,Servicio de Emergencias Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2012 00:00:00
2012,Municipal,,V,060412,José C. Paz,Centro Asistencial Frino Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2012 00:00:00
2012,Municipal,,V,060515,Malvinas Argentinas,Centro Asistencial Unión Vecinal Villa de Mayo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2012 00:00:00
2012,Municipal,,V,060515,Malvinas Argentinas,Unidad Funcional Móvil Nº 85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2012 00:00:00
2012,Municipal,,V,060515,Malvinas Argentinas,Hospital Pediátrico Concejal Mary Gervasoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2012 00:00:00
2012,Municipal,,V,060515,Malvinas Argentinas,Unidad Funcional 8 de Octubre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2012 00:00:00
2012,Municipal,,V,060749,San Fernando,Instituto de Odontología y Ortodoncia Infantil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2012 00:00:00
2012,Municipal,,V,060756,San Isidro,Centro Abierto Salud Asistencial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2012 00:00:00
2012,Municipal,,V,060805,Tigre,Catamarán Sanitario,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2012 00:00:00
