anio,dependencia,establecimiento_id,region_sanitaria,municipio_id,municipio_nombre,establecimiento_nombre,consultas_odontologicas,consultas_medicas,consultas_paramedicas,interconsultas,egresos,dias_camas_disponible,promedio_camas_disponibles,pacientes_dias,porcentaje_ocupacion,dias_estadia,promedio_dias_estadia,defunciones,giro_de_camas,tasa_mortalidad_hospitalaria
2024,Municipal,19600037,I,6196,Coronel Pringles,Unid. Sanit. Indio Rico,230,1.396,641,,31,1.738,5,128,"7,4","6,5",128,"4,1",3,"9,7"
2024,Municipal,19600045,I,6196,Coronel Pringles,Unid. Sanit. H. Irigoyen,240,1.45,422,,,,,,,,,,,
2024,Municipal,19600070,I,6196,Coronel Pringles,Unid. Sanit. Dr. Hugo Maggi,692,2.158,247,,,,,,,,,,,
2024,Municipal,19600088,I,6196,Coronel Pringles,Unid. Sanit. Dr. Lozano,219,867,583,,,,,,,,,,,
2024,Municipal,19600096,I,6196,Coronel Pringles,Unid. Sanit. Dr. Alberto Roulier,224,1.252,374,,,,,,,,,,,
2024,Municipal,19600118,I,6196,Coronel Pringles,Unid. Sanit. Dr. Domingo Tejerina,,,,,,,,,,,,,,
2024,Municipal,19600126,I,6196,Coronel Pringles,Unid. Sanit. Dr. A.González,216,682,413,,,,,,,,,,,
2024,Municipal,19600145,I,6196,Coronel Pringles,Hogar Municipal de Ancianos de Indio Rico,,,,,8,7.32,20,3.258,"44,5","0,4",1.825,"228,1",0,"0,0"
2024,Municipal,20300012,I,6203,Coronel Suárez,Unid. Sanit. María E. C. A. de Cook,,70,,,,,,,,,,,,
2024,Municipal,20300039,I,6203,Coronel Suárez,Hosp. Munic. de Cnel. Suárez,1.366,87.95,4.676,,4.348,31.476,86,14.036,"44,6","50,4",14.493,"3,3",211,"4,9"
2024,Municipal,20300047,I,6203,Coronel Suárez,Unid. Sanit. Curumalal,,1.336,,,,,,,,,,,,
2024,Municipal,20300055,I,6203,Coronel Suárez,Hosp. Munic. Lucero del Alba de Huanguelén,1.542,22.256,1.268,,1.165,8.418,23,3.28,"39,0","50,5",2.548,"2,2",52,"4,5"
2024,Municipal,20300063,I,6203,Coronel Suárez,Unid. Sanit. Dr. Lew Frandzman (P. Santa María),120,6.072,256,,,,,,,,,,,
2024,Municipal,20300071,I,6203,Coronel Suárez,Unid. Sanit. Pasman,0,2.796,,,,,,,,,,,,
2024,Municipal,20300080,I,6203,Coronel Suárez,Unid. Sanit. Pueblo Sta. Trinidad,,12.837,566,,,,,,,,,,,
2024,Municipal,20300098,I,6203,Coronel Suárez,Unid. Sanit. Pueblo San José,83,7.775,130,,,,,,,,,,,
2024,Municipal,20300101,I,6203,Coronel Suárez,Unid. Sanit. Villa Belgrano,228,12.159,1.07,,,,,,,,,,,
2024,Municipal,20300136,I,6203,Coronel Suárez,Hogar de Ancianos Domingo Goñi,,5.852,,,76,51.606,141,37.25,"72,2","0,5",66.123,"870,0",14,"18,4"
2024,Municipal,20300144,I,6203,Coronel Suárez,Unid. Sanit. San Cayetano,,5.628,,,,,,,,,,,,
2024,Municipal,20300152,I,6203,Coronel Suárez,Unid. Sanit. Puente Chico,,6.019,,,,,,,,,,,,
2024,Municipal,20300161,I,6203,Coronel Suárez,Unid. Sanit. Villa La Arcadia,,2.438,,,,,,,,,,,,
2024,Municipal,20300189,I,6203,Coronel Suárez,CAPS Barrio Rosario,,5.698,784,,,,,,,,,,,
2024,Municipal,39900029,I,6399,Guaminí,Hospital Municipal Casbas,420,98.173,38.594,,752,10.98,30,3.066,"25,1","25,0",2.888,"3,8",40,"5,3"
2024,Municipal,39900037,I,6399,Guaminí,Hosp. Munic. Dr. J. Llambías,298,25.449,924,,469,16.836,46,1.384,"8,2","10,2",1.017,"2,2",22,"4,7"
2024,Municipal,39900045,I,6399,Guaminí,Unid. Sanit. Garré,,4.861,1.53,,,,,,,,,,,
2024,Municipal,39900061,I,6399,Guaminí,Hogar de Ancianos Eva Perón,,,,,35,16.47,45,14.845,"90,1","0,8",20.849,"595,7",0,"0,0"
2024,Municipal,39900070,I,6399,Guaminí,Sala de Pros. Aux. Arroyo Venado,,768,,,,,,,,,,,,
2024,Municipal,39900088,I,6399,Guaminí,Sala de Pros. Aux. Cochicó,,425,,,,,,,,,,,,
2024,Municipal,39900096,I,6399,Guaminí,Hogar Geriátrico El Jardín de los Abuelos,,,,,19,9.516,26,8.3,"87,2","0,7",13.595,"715,5",3,"15,8"
2024,Municipal,39900100,I,6399,Guaminí,Hosp. Munic. Laguna Alsina,262,8.393,709,,205,2.928,8,930,"31,8","25,6",722,"3,5",7,"3,4"
2024,Municipal,39900119,I,6399,Guaminí,Centro Municipal de Residentes de la Tercera Edad,215,,,,51,13.176,36,12.808,"97,2","1,4",15.368,"301,3",1,"2,0"
2024,Municipal,55300010,I,6553,Monte Hermoso,Hosp. Munic. Dr. R. Carrillo,19.365,110.586,78.936,,682,7.32,20,2.522,"34,5","34,0",2.627,"3,9",37,"5,4"
2024,Municipal,55300040,I,6553,Monte Hermoso,Ctro. de Salud San Martín,,14.465,,,,,,,,,,,,
2024,Municipal,55300066,I,6553,Monte Hermoso,Ctro. de Atenc. Prim. Sauce Grande,,13.094,,,,,,,,,,,,
2024,Municipal,55300091,I,6553,Monte Hermoso,Unid. Sanit. Puesto Costanera,,14.349,,,,,,,,,,,,
2024,Municipal,55300104,I,6553,Monte Hermoso,Ctro. de Salud Soc. de Fomento Monte Hermoso,,13.819,,,,,,,,,,,,
2024,Municipal,55300112,I,6553,Monte Hermoso,Ctro. de Salud Jubilados y Pensionados,,13.998,,,,,,,,,,,,
2024,Municipal,55300121,I,6553,Monte Hermoso,Hogar Abuelos,,,,,25,5.856,16,5.574,"95,2","1,6",8.92,"356,8",3,"12,0"
2024,Municipal,55300122,I,6553,Monte Hermoso,C.A.P.S Polideportivo Municipal M. Hermoso,,,9.345,,,,,,,,,,,
2024,Municipal,65100014,I,6651,Puán,Unid. Sanit. Bordenave Dr. A. Fernández Munilla,2.07,12.706,612,,35,11.712,32,9.135,"78,0","1,1",12.309,"351,7",4,"11,4"
2024,Municipal,65100022,I,6651,Puán,Unid. Sanit. Della N. Cerviño,711,6.275,111,,23,369,1,39,"10,6","22,8",39,"1,7",0,"0,0"
2024,Municipal,65100031,I,6651,Puán,Unid. Sanit. Felipe Solá,754,21.281,316,,68,8.052,22,4.937,"61,3","3,1",4.313,"63,4",6,"8,8"
2024,Municipal,65100049,I,6651,Puán,Hosp. Munic. Gobernador Ugarte,263,85.052,4.504,,1.173,11.346,31,2.56,"22,6","37,7",2.583,"2,2",44,"3,8"
2024,Municipal,65100057,I,6651,Puán,Hosp. Munic. Villa Iris,4.19,18.338,1.551,,209,13.176,36,7.637,"58,0","5,8",10.315,"49,4",22,"10,5"
2024,Municipal,65100081,I,6651,Puán,Unid. Sanit. y Hogar Geriát. El Centenario,,3.655,0,,,,,,,,,,,
2024,Municipal,65100090,I,6651,Puán,Unid. Sanit. San Germán,0,968,15,,,,,,,,,,,
2024,Municipal,65100120,I,6651,Puán,Equipo Móvil de Salud,557,2.404,196,,,,,,,,,,,
2024,Municipal,65100138,I,6651,Puán,Hogar Geriátrico Melvin Jones,,17.641,1.281,,16,12.81,35,12.505,"97,6","0,5",10.961,"685,1",3,"18,8"
2024,Municipal,65100173,I,6651,Puán,Hospital Municipal de Darragueira,336,101.008,3.856,,1.401,14.274,39,3.381,"21,9","35,8",3.101,"2,2",46,"3,3"
2024,Municipal,65100174,I,6651,Puán,Hogar de Ancianos Nuestros Tiempos,,12.357,171,,38,13.908,38,13.515,"97,2","1,0",35.045,"922,2",5,"13,2"
2024,Municipal,65100180,I,6651,Puán,Hogar Geriátrico El Centenario,,3.953,324,,10,5.856,16,5.811,"99,2","0,6",6.873,"687,3",0,"0,0"
